Event	ID	Name			Wwise Object Path	Notes
	589253524	Play_dagger_impact_enemy			\Default Work Unit\Play_dagger_impact_enemy	
	1323361132	Play_dagger_sfx			\Default Work Unit\Play_dagger_sfx	
	1432862898	Play_bottle_break			\Default Work Unit\Play_bottle_break	
	3277952656	Play_knife_draw2			\Default Work Unit\Play_knife_draw2	
	3277952659	Play_knife_draw1			\Default Work Unit\Play_knife_draw1	
	3623482205	Play_ender_warp			\Default Work Unit\Play_ender_warp	
	3850193945	Play_dagger_impact_ground			\Default Work Unit\Play_dagger_impact_ground	
	4143708110	Play_land_impact			\Default Work Unit\Play_land_impact	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	61913055	dagger_ground_impact4	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\dagger_impact\ground_impact\dagger_ground_impact4_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\dagger_impact_ground\dagger_ground_impact4		4660
	128749710	dagger_impact1	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\dagger_impact\enemy_impact\dagger_impact1_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\dagger_impact_enemy\dagger_impact1		11398
	147485542	dagger_ground_impact2	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\dagger_impact\ground_impact\dagger_ground_impact2_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\dagger_impact_ground\dagger_ground_impact2		4534
	154791066	dagger_impact4	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\dagger_impact\enemy_impact\dagger_impact4_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\dagger_impact_enemy\dagger_impact4		10431
	225130810	knife_draw2	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\MenuSounds\knife_draw2_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\knife_draw2		7461
	259322292	dagger_ground_impact1	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\dagger_impact\ground_impact\dagger_ground_impact1_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\dagger_impact_ground\dagger_ground_impact1		3561
	263305126	bottle_break	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\bottle_break_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\bottle_break		22222
	447551069	dagger_impact6	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\dagger_impact\enemy_impact\dagger_impact6_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\dagger_impact_enemy\dagger_impact6		10033
	485607257	dagger_throw1	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\dagger_sfx\dagger_throw1_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\dagger_sfx\dagger_throw1		2124
	583044895	ender_warp	C:\Users\Bee_Snow\Documents\Assassin ROR2 Setup\HenryTutorial-master\AssassinModWWISE\.cache\Windows\SFX\ender_warp_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\ender_warp		19478
